id,name,starting_medium_salary,mid_careeer_medium_salary
1,Accounting,46000,77100
2,Aerospace Engineering,57700,101000
3,Agriculture,42600,71900
4,Anthropology,36800,61500
5,Architecture,41600,76800
6,Art History,35800,64900
7,Biology,38800,64800
8,Business Management,43000,72100
9,Chemical Engineering,63200,107000
10,Chemistry,42600,79900
11,Civil Engineering,53900,90500
12,Communications,38100,70000
13,Computer Engineering,61400,105000
14,Computer Science,55900,95500
15,Construction,53700,88900
16,Criminal Justice,35000,56300
17,Drama,35900,56900
18,Economics,50100,98600
19,Education,34900,52000
20,Electrical Engineering,60900,103000
21,English,38000,64700
22,Film,37900,68500
23,Finance,47900,88300
24,Forestry,39100,62600
25,Geography,41200,65500
26,Geology,43500,79500
27,Graphic Design,35700,59800
28,Health Care Administration,38800,60600
29,History,39200,71000
30,Hospitality & Tourism,37800,57500
31,Industrial Engineering,57700,94700
32,Information Technology (IT),49100,74800
33,Interior Design,36100,53200
34,International Relations,40900,80900
35,Journalism,35600,66700
36,Management Information Systems (MIS),49200,82300
37,Marketing,40800,79600
38,Math,45400,92400
39,Mechanical Engineering,57900,93600
40,Music,35900,55000
41,Nursing,54200,67000
42,Nutrition,39900,55300
43,Philosophy,39900,81200
44,Physician Assistant,74300,91700
45,Physics,50300,97300
46,Political Science,40800,78200
47,Psychology,35900,60400
48,Religion,34100,52000
49,Sociology,36500,58200
50,Spanish,34000,53100
